"","YEAR","PRIMARY_SAMPLE_UNIT","lat","lon"
"151",2024,"1170",25.07857,-80.31761
"152",2024,"1171",25.05569,-80.33155
"153",2024,"1172",25.02288,-80.36289
"154",2024,"1173",24.96815,-80.44742
"155",2024,"1175",24.99092,-80.41048
"156",2024,"1176",24.97262,-80.43063
"157",2024,"1177",25.70647,-80.09837
"158",2024,"1178",25.40375,-80.12844
"159",2024,"1179",25.50327,-80.10605
"160",2024,"1180",25.72561,-80.1009
"161",2024,"1181",25.44335,-80.12004
"162",2024,"1182",25.54391,-80.1013
"163",2024,"1183",25.4632,-80.12595
"164",2024,"1184",25.65869,-80.09701
"165",2024,"1185",25.56273,-80.10559
"166",2024,"1186",25.63599,-80.09371
"167",2024,"1187",24.556,-81.35731
"168",2024,"1188",24.52045,-81.52336
"169",2024,"1189",24.56458,-81.32228
"170",2024,"1190",24.76635,-80.73061
"171",2024,"1191",24.61987,-81.10787
"172",2024,"1193",24.67668,-80.94246
"173",2024,"1194",24.64003,-81.05491
"174",2024,"1195",24.60618,-81.18214
"175",2024,"1196",24.79804,-80.68668
"176",2024,"1197",24.87213,-80.57262
"177",2024,"1198",25.17223,-80.23188
"178",2024,"1199",24.99298,-80.40485
"179",2024,"1200",25.00602,-80.38368
"180",2024,"1201",25.71822,-80.09061
"181",2024,"1202",25.33896,-80.15269
"182",2024,"1204",24.49036,-81.6618
"183",2024,"1205",24.51694,-81.53231
"184",2024,"1206",24.50646,-81.57396
"185",2024,"1207",24.52986,-81.47404
"186",2024,"1208",24.52848,-81.48833
"187",2024,"1209",24.65654,-81.00363
"188",2024,"1210",24.59508,-81.20722
"189",2024,"1211",24.7361,-80.80549
"190",2024,"1212",24.63585,-81.07083
"191",2024,"1213",24.63466,-81.07437
"192",2024,"1214",24.6096,-81.14889
"193",2024,"1215",24.60283,-81.18414
"194",2024,"1216",24.87737,-80.56863
"195",2024,"1217",24.88554,-80.55279
"196",2024,"1218",24.94575,-80.45961
"197",2024,"1219",25.13796,-80.25864
"198",2024,"1220",25.13975,-80.25841
"199",2024,"1221",25.09857,-80.29473
"200",2024,"1222",24.97211,-80.44052
"201",2024,"1223",25.11341,-80.28264
"202",2024,"1224",25.13862,-80.2577
"203",2024,"1225",25.17589,-80.22959
"204",2024,"1226",25.41629,-80.12394
"205",2024,"1227",25.40632,-80.12571
"206",2024,"1228",25.51726,-80.09988
"207",2024,"1229",25.4101,-80.12639
"208",2024,"1230",25.35409,-80.14959
"209",2024,"1231",25.67453,-80.09106
"210",2024,"1232",25.58779,-80.09237
"211",2024,"1233",25.72458,-80.09912
"212",2024,"1234",25.61465,-80.09364
"213",2024,"1235",24.43405,-81.98298
"214",2024,"1236",24.44004,-81.8769
"215",2024,"1237",24.44529,-81.98013
"216",2024,"1238",24.46825,-81.73119
"217",2024,"1239",24.73187,-80.79988
"218",2024,"1240",24.61822,-81.12805
"219",2024,"1241",24.94521,-80.46517
"220",2024,"1243",24.96587,-80.44207
"221",2024,"1244",25.2114,-80.2087
"222",2024,"1245",25.74764,-80.08793
"223",2024,"1246",25.67087,-80.08851
"224",2024,"1247",24.53972,-81.42222
"225",2024,"1248",24.44228,-81.97007
"226",2024,"1251",24.49096,-81.65364
"227",2024,"1252",24.55587,-81.34899
"228",2024,"1253",24.50364,-81.55466
"229",2024,"1254",24.5113,-81.54078
"230",2024,"1255",24.54245,-81.40666
"231",2024,"1256",24.44279,-81.87974
"232",2024,"1257",24.4413,-81.86465
"233",2024,"1258",24.48239,-81.65946
